"","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-BT-A20U-01A-11R-A14Y-07","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-BL-A13J-01A-11R-A277-07","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-GC-A6I3-01A-11R-A31N-07","TCGA-BL-A13J-01B-04R-A277-07","TCGA-K4-A54R-01A-11R-A26T-07","TCGA-BT-A20Q-01A-11R-A14Y-07","TCGA-BT-A20N-01A-11R-A14Y-07","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-BT-A2LA-01A-11R-A18C-07","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-GD-A3OQ-01A-32R-A220-07","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20R-01A-12R-A16R-07","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-K4-A5RI-01A-11R-A28M-07","TCGA-GC-A3WC-01A-31R-A22U-07","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-BT-A2LB-01A-11R-A18C-07","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GD-A2C5-01A-12R-A180-07","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-K4-A3WV-01A-11R-A22U-07","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-BL-A13J-11A-13R-A10U-07"
"L1HS_intergenic_1__12816084_12816355",0,0,0,0,0,0.776937,0,0,0,0,0,0.181222,0,0,0,0,0,0.311158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__14257711_14257955",0,0,0,0,0,0.445119,0,0,0,0,0,0.153797,0,0,0,0,0,0,0,0,0.182572,0,0,0,0,0,0,0,0,0.323671,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__28985834_28986182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__30567814_30568750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__34566056_34572105",0.00245768,0.00724104,0.00319498,0.00131054,0,0,0.00883384,0,0,0.00641375,0.0631216,0,0,0,0,0.00519708,0,0,0.00581151,0,0.00405476,0,0,0,0.0105021,0,0,0,0,0,0,0,0,0.00587018,0,0,0,0.011195,0,0
"L1HS_intron_1__35484808_35485000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__41207752_41208441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171629,0,0
"L1HS_intron_1__41854524_41855316",0,0,0,0.0101442,0,0.0092132,0,0.0314365,0,0.0429194,0,0,0.0160255,0.00805431,0,0,0,0.0495978,0,0,0.0508238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__41855316_41855560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__41989724_41990366",0,0,0,0,0,0,0,0,0,0.0609168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570692,0,0,0,0,0,0,0
"L1HS_intron_1__50918192_50918966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__56365453_56369282",0,0,0,0.0258543,0,0,0.00486308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__58114947_58115999",0.0570308,0,0,0,0,0,0,0,0,0,0,0,0,0.0725162,0,0,0.100626,0.0611683,0,0,0,0,0,0,0,0.0919744,0,0,0,0,0,0,0,0,0,0.0175425,0,0,0,0
"L1HS_intergenic_1__60278377_60278642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__60278642_60279456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__63239741_63240562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__63240556_63242477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
